City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,ulaangom,49.9811,92.0667,-22.28,98,100,1.48,MN,1737436989
234,bria,6.5423,21.9863,23.04,64,90,0.6,CF,1737436991
235,port alfred,-33.5906,26.891,20.1,87,100,3.13,ZA,1737436993
236,zhaqsy,51.9083,67.3133,-4.71,94,100,10.03,KZ,1737436816
237,rio grande,-32.035,-52.0986,20.14,83,29,2.21,BR,1737436995
238,massakory,12.996,15.7293,21.95,19,1,3.97,TD,1737436996
239,brigantine,39.4101,-74.3646,-8.32,62,0,3.6,US,1737436997
240,kudymkar,59.0173,54.656,-14.72,82,100,5.05,RU,1737436999
241,mugia,43.1041,-9.2179,14.95,93,100,11.12,ES,1737437000
242,danilov,58.1908,40.1717,-11.38,85,7,4.54,RU,1737437001
243,mogocha,53.7333,119.7667,-13.4,83,67,0.97,RU,1737437002
244,severo-yeniseyskiy,60.3725,93.0408,-4.81,89,99,5.41,RU,1737437003
245,chonchi,-42.6128,-73.8092,8.62,97,82,0.95,CL,1737437004
246,tamanrasset,22.785,5.5228,8.95,25,0,2.06,DZ,1737437005
247,constantia,44.1833,28.65,-0.62,71,100,2.31,RO,1737436839
248,guangyuan,32.442,105.823,13.93,52,91,0.96,CN,1737436842
249,inirida,3.8653,-67.9239,26.12,52,53,0.45,CO,1737437008
250,songjiang,31.036,121.2146,13.98,28,56,3.53,CN,1737436975
251,nguigmi,14.2495,13.1092,21.25,23,0,4.48,NE,1737437010
252,port saint john's,-31.6229,29.5448,21.31,91,100,3.32,ZA,1737437014
253,andratx,39.5755,2.4202,13.58,95,100,4.99,ES,1737437015
254,ballingry,56.1639,-3.3284,5.79,95,100,1.34,GB,1737437016
255,vernon,50.2581,-119.2691,-4.2,65,100,3.09,CA,1737437017
256,zeya,53.75,127.2667,-14.18,86,12,1.17,RU,1737437018
257,san pedro,14.35,121.0167,31.57,70,40,4.63,PH,1737437022
258,sofiyivka,48.0493,33.8746,-0.98,91,13,2.79,UA,1737437023
259,colonia,50.9333,6.95,-1.14,91,100,1.54,DE,1737436990
260,ola,59.5833,151.2833,-21.84,86,86,1.53,RU,1737437026
261,necochea,-38.5473,-58.7368,17.01,61,99,6.71,AR,1737437027
262,haimen,23.1935,116.6142,17.41,51,0,8.31,CN,1737437028
263,riosucio,5.4216,-75.7032,14.24,94,0,0.64,CO,1737437030
264,bac lieu,9.285,105.7244,27.51,61,96,5.42,VN,1737437031
265,cadale,2.7603,46.3222,25.1,77,46,7.02,SO,1737437032
266,papao,-17.75,-149.55,27.82,72,91,6.0,PF,1737437033
267,phai sali,15.5976,100.6585,29.7,28,100,2.57,TH,1737437034
268,cockburn town,21.4612,-71.1419,25.19,84,14,8.77,TC,1737437035
269,masterton,-40.9597,175.6575,21.71,56,18,5.17,NZ,1737437037
270,dowlatabad,32.7998,51.6955,-0.18,74,20,4.12,IR,1737437038
271,puqi,29.7167,113.8833,21.53,17,21,0.95,CN,1737437039
272,sofia,42.6975,23.3242,0.1,90,100,1.03,BG,1737437041
273,itoman,26.1247,127.6694,21.21,52,20,7.72,JP,1737437042
274,fort bragg,35.139,-79.006,-2.88,46,0,2.57,US,1737437043
275,pisco,-13.7,-76.2167,20.03,83,0,2.06,PE,1737437044
276,letterkenny,54.95,-7.7333,5.31,85,93,1.97,IE,1737437045
277,hollidaysburg,40.4273,-78.3889,-13.96,65,0,5.14,US,1737437046
278,arraial do cabo,-22.9661,-42.0278,24.81,93,100,6.97,BR,1737437047
279,palikir - national government center,6.9248,158.1611,31.47,70,100,5.14,FM,1737437048
280,port hueneme,34.1478,-119.1951,14.83,19,0,6.17,US,1737437049
281,ancud,-41.8697,-73.8203,12.12,88,85,1.15,CL,1737437051
282,las vegas,36.175,-115.1372,4.51,18,0,6.17,US,1737436242
283,puerto colombia,10.9878,-74.9547,27.05,80,0,11.49,CO,1737437053
284,cuamba,-14.8031,36.5372,22.24,94,100,1.07,MZ,1737437054
285,wad az zaki,14.4619,32.2065,21.6,23,4,5.11,SD,1737437055
286,flying fish cove,-10.4217,105.6791,26.82,94,100,5.14,CX,1737437056
287,newman,37.3138,-121.0208,7.53,48,4,1.36,US,1737437057
288,margaret river,-33.95,115.0667,34.16,33,100,1.57,AU,1737437058
289,arcos,-20.2819,-45.5394,20.57,87,100,0.7,BR,1737437059
290,yuzhno-kurilsk,44.0306,145.8556,-1.01,63,69,7.46,RU,1737437060
291,fortaleza,-3.7227,-38.5247,26.07,89,40,1.54,BR,1737437011
292,polyarnyy,69.1989,33.4478,-5.22,76,100,5.2,RU,1737437062
293,st. john's,47.5649,-52.7093,1.1,81,100,14.92,CA,1737436791
294,whitby,54.4877,-0.615,6.6,90,100,0.89,GB,1737437064
295,santa clara de valladares,19.6382,-102.4904,15.35,57,85,2.28,MX,1737437066
296,greymouth,-42.4667,171.2,20.61,65,42,4.05,NZ,1737437067
297,namibe,-15.1961,12.1522,20.56,78,100,1.53,AO,1737437068
298,saint-philippe,-21.3585,55.7679,26.8,75,100,5.68,RE,1737437069
299,fortuna,40.5982,-124.1573,5.51,100,0,4.63,US,1737437070
300,crane,31.3974,-102.3501,-2.13,29,12,7.67,US,1737437071
301,gamba,-2.65,10.0,23.88,92,100,1.51,GA,1737437073
302,houlton,46.1262,-67.8403,-18.77,68,0,3.09,US,1737437074
303,tinajo,29.0788,-13.7081,17.49,77,20,6.17,ES,1737437075
304,ust'-kulom,61.6864,53.6902,-22.85,95,99,3.17,RU,1737437076
305,san luis,-33.295,-66.3356,20.75,29,20,3.89,AR,1737436190
306,badger,64.8,-147.5333,-4.55,93,75,0.0,US,1737437078
307,mount isa,-20.7333,139.5,37.87,25,20,4.12,AU,1737437079
308,dinguiraye,11.3,-10.7167,19.51,21,1,1.04,GN,1737437080
309,hasaki,35.7333,140.8333,9.53,86,100,10.03,JP,1737437081
310,vorgashor,67.5833,63.95,-27.74,86,100,3.34,RU,1737437082
311,okhotsk,59.3833,143.3,-21.88,79,1,4.18,RU,1737437083
312,saint-pierre,-21.3393,55.4781,29.82,66,0,3.6,RE,1737437084
313,maxixe,-23.8597,35.3472,26.9,94,75,2.57,MZ,1737437086
314,al bayda,32.7627,21.7551,10.4,96,99,2.41,LY,1737437058
315,piranshahr,36.701,45.1413,-5.8,73,3,1.56,IR,1737437088
316,bikenibeu village,1.3673,173.1241,28.98,74,40,5.66,KI,1737437089
317,kruisfontein,-34.0033,24.7314,18.41,77,100,4.62,ZA,1737437090
318,lazaro cardenas,17.9583,-102.2,22.47,84,74,1.68,MX,1737436852
319,santiago papasquiaro,25.046,-105.4208,6.48,48,11,3.06,MX,1737437092
320,mbanza-ngungu,-5.25,14.8667,19.88,99,100,2.06,CD,1737437093
321,alta,69.9689,23.2717,-15.41,78,0,3.09,NO,1737437094
322,saldanha,-33.0117,17.9442,17.03,71,0,3.18,ZA,1737437095
323,tevriz,57.509,72.4042,-3.53,94,100,4.42,RU,1737437096
324,oriximina,-1.7656,-55.8661,26.07,74,100,1.8,BR,1737437097
325,north bend,43.4065,-124.2243,3.95,81,0,4.12,US,1737437098
326,placido de castro,-10.3353,-67.1856,21.78,99,100,0.65,BR,1737437100
327,uchiza,-8.4592,-76.4633,21.2,96,100,0.86,PE,1737437101
328,tikhvin,59.6451,33.5294,-10.65,86,60,0.98,RU,1737437102
329,puerto baquerizo moreno,-0.9,-89.6,23.97,81,6,4.47,EC,1737436913
330,bereeda,11.8704,51.0579,23.42,69,69,2.52,SO,1737437104
331,jwaneng,-24.6004,24.7303,22.86,55,9,3.66,BW,1737437105
332,christchurch,-43.5333,172.6333,20.53,68,40,6.69,NZ,1737436540
333,caldwell,43.6629,-116.6874,-5.47,62,2,2.57,US,1737437107
334,kingscliff,-28.2667,153.5667,28.3,65,83,5.66,AU,1737437108
335,codrington,-38.2667,141.9667,21.2,66,50,6.76,AU,1737437109
336,andkhoy,36.9529,65.1238,9.37,52,100,0.76,AF,1737437110
337,ilebo,-4.3167,20.5833,20.27,95,100,0.31,CD,1737437112
338,whakatane,-37.9585,176.9854,19.73,95,100,0.89,NZ,1737437113
339,machico,32.7,-16.7667,18.89,83,40,13.38,PT,1737437114
340,lorengau,-2.0226,147.2712,29.59,70,80,4.34,PG,1737437115
341,torrington,41.8007,-73.1212,-12.5,85,35,2.62,US,1737437116
342,songling,31.1933,120.7176,15.05,25,77,3.0,CN,1737437117
343,omutinskiy,56.4745,67.6709,-5.11,95,100,5.15,RU,1737436895
344,aasiaat,68.7098,-52.8699,-7.31,96,100,3.38,GL,1737437119
345,kattivakkam,13.2167,80.3167,27.28,64,90,4.69,IN,1737437120
346,fort st. john,56.2499,-120.8529,-3.06,59,75,12.86,CA,1737437121
347,sao tome,0.3365,6.7273,25.89,81,99,0.77,ST,1737436887
348,lezignan-corbieres,43.1976,2.7614,8.9,92,80,1.79,FR,1737437124
349,santa cruz,-17.8,-63.1667,21.7,94,75,1.54,BO,1737437125
350,bintulu,3.1667,113.0333,29.23,83,40,2.24,MY,1737437126
351,kalinkavichy,52.1323,29.3257,0.56,93,93,2.91,BY,1737437128
352,san patricio,28.017,-97.5169,2.97,46,100,10.02,US,1737437129
353,puerto escondido,15.85,-97.0667,24.57,78,4,2.61,MX,1737437130
354,floro,61.5996,5.0328,3.98,87,75,2.06,NO,1737437131
355,alibag,18.6411,72.8792,26.9,37,1,1.69,IN,1737437132
356,lompoc,34.6391,-120.4579,7.61,86,0,3.09,US,1737437133
357,olinda,-8.0089,-34.8553,26.85,83,40,1.54,BR,1737437037
358,nouadhibou,20.931,-17.0347,15.99,88,3,6.69,MR,1737437135
359,xining,36.6167,101.7667,0.26,31,66,1.37,CN,1737437138
